employee_id,first_name,last_name,start_date,exit_date,title,supervisor,ad_email,business_unit,employee_status,employee_type,pay_zone,employee_classification_type,termination_type,termination_description,department_type,division,date_of_birth,state,job_function_description,gender_code,location_code,race_desc,marital_desc,performance_score,current_employee_rating,active_flag,non_active_flag,termination_flag,voluntary_termination_flag,involuntary_termination_flag,employee_status_group,tenure_days,tenure_years,application_date,education_level,years_of_experience,desired_salary,recruitment_job_title,recruitment_status,survey_date,engagement_score,satisfaction_score,work_life_balance_score,engagement_segment,training_date,training_program_name,training_type,training_outcome,training_location,trainer,training_duration_days,training_cost,training_timing,early_attrition_6m_flag,early_attrition_12m_flag
3437,Myriam,Givens,2023-08-04,,Area Sales Manager,Troy White,myriam.givens@bilearner.com,SVG,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Operations,1964-01-26,IN,Technician,Female,46204,Other,Single,Fully Meets,5,1,0,0,0,0,Active,1068,2.92,2023-06-05,Bachelor's Degree,1,83420.31,"Administrator, education",Rejected,2022-10-15,3,2,5,Medium Engagement,2022-10-20,Technical Skills,Internal,Failed,Jenniferhaven,Mrs. Valerie Brown,1,455.68,Before Start Date,0,0
3438,Dheepa,Nguyen,2018-08-10,2019-11-04,Area Sales Manager,Brian Miller,dheepa.nguyen@bilearner.com,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Alone once than. More condition pay far.,Sales,General - Con,1948-04-06,GA,Technician,Female,30428,Asian,Married,Fully Meets,3,1,0,0,0,0,Active,451,1.23,2023-06-29,High School,1,46361.34,Merchant navy officer,Interviewing,2022-10-28,4,2,5,High Engagement,2022-10-05,Technical Skills,Internal,Failed,Nunezmouth,Sharon Flores DDS,2,208.17,After Start Date,0,0
3439,Bartholemew,Khemmich,2022-05-25,2022-11-27,Area Sales Manager,Charles Parks,bartholemew.khemmich@bilearner.com,EW,Active,Full-Time,Zone A,Temporary,Involuntary,Foot in theory minute recognize test.,Sales,Splicing,1981-11-24,CO,Splicer,Male,80820,Other,Single,Fully Meets,3,1,0,0,0,0,Active,186,0.51,2023-05-29,Bachelor's Degree,19,91520.7,Clinical biochemist,Offered,2022-10-30,1,2,5,Low Engagement,2023-03-09,Technical Skills,External,Incomplete,Port Margaretview,Kimberly Garcia,1,421.07,After Start Date,0,0
3440,Xana,Potts,2019-12-05,2023-02-17,Area Sales Manager,Gregory Walker,xana.potts@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Resignation,Degree wish science when thing week old.,Sales,Finance & Accounting,1951-11-06,KY,Controller,Female,40220,White,Divorced,Fully Meets,3,1,0,0,0,0,Active,1170,3.2,2023-08-05,Bachelor's Degree,9,61365.47,"Conservator, museum/gallery",In Review,2022-09-24,1,4,5,Low Engagement,2023-05-29,Communication Skills,External,Failed,Nancyview,Christopher Underwood,1,649.03,After Start Date,0,0
3441,Prater,Jeremy,2019-04-28,,Area Sales Manager,Tyler Lewis,prater.jeremy@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Con,1989-11-21,NV,Lineman,Male,89139,Asian,Widowed,Exceeds,4,1,0,0,0,0,Active,2627,7.19,2023-06-17,PhD,6,94490.48,Film/video editor,Offered,2022-10-30,4,2,5,High Engagement,2023-01-08,Project Management,Internal,Passed,Carrollside,Robert Kane,4,450.2,After Start Date,0,0
3442,Kaylah,Moon,2019-07-09,2022-06-16,Area Sales Manager,Ashley Scott,kaylah.moon@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Retirement,Fear particular method stage.,IT/IS,Field Operations,1952-11-24,MA,Laborer,Male,2810,Black,Single,Exceeds,2,1,0,0,0,0,Active,1073,2.94,2023-06-08,High School,13,89195.28,"Editor, magazine features",In Review,2022-10-31,2,5,3,Low Engagement,2023-03-06,Project Management,External,Failed,Port Davidshire,Victoria Berry,4,286.87,After Start Date,0,0
3443,Kristen,Tate,2021-04-05,2023-05-12,Area Sales Manager,Lauren Jones,kristen.tate@bilearner.com,WBL,Active,Full-Time,Zone C,Part-Time,Voluntary,Wall body wonder successful.,IT/IS,Project Management - Con,1994-04-08,KY,Coordinator,Male,2621,Asian,Widowed,Fully Meets,3,1,0,0,0,0,Active,767,2.1,2023-07-20,Master's Degree,19,78361.9,Theme park manager,Rejected,2023-04-29,2,2,4,Low Engagement,2023-02-18,Technical Skills,External,Failed,East Katie,Gary Thornton,3,402.13,After Start Date,0,0
3444,Bobby,Rodgers,2021-11-28,2022-02-04,Area Sales Manager,Matthew Jackson,bobby.rodgers@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Voluntary,Visit foot nearly radio treatment.,Sales,Engineers,1983-11-15,KY,Director,Male,44553,Other,Widowed,Fully Meets,3,1,0,0,0,0,Active,68,0.19,2023-06-24,Master's Degree,11,75223.13,IT consultant,Interviewing,2022-12-14,1,2,4,Low Engagement,2022-11-02,Technical Skills,External,Failed,Jacobburgh,William Willis,2,388.84,After Start Date,0,0
3445,Reid,Park,2021-01-16,,Area Sales Manager,Michelle Mitchell,reid.park@bilearner.com,PL,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,1985-12-07,KY,Supervisor,Female,5360,Other,Married,Exceeds,4,1,0,0,0,0,Active,1998,5.47,2023-05-31,High School,3,81570.46,Arts administrator,Interviewing,2023-05-07,4,5,2,High Engagement,2023-07-14,Project Management,External,Completed,Ryanmouth,Andre Wu,2,879.64,After Start Date,0,0
3446,Hector,Dalton,2021-08-24,,Area Sales Manager,Sydney French,hector.dalton@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,Field Operations,1996-05-01,TX,Driller,Female,16325,White,Divorced,Exceeds,2,1,0,0,0,0,Active,1778,4.87,2023-05-21,High School,13,60934.69,Administrator,Rejected,2023-05-21,4,3,5,High Engagement,2022-12-11,Technical Skills,Internal,Failed,South John,Olivia Holland,5,701.13,After Start Date,0,0
3447,Mariela,Schultz,2020-05-26,2023-06-18,Area Sales Manager,Michelle Evans MD,mariela.schultz@bilearner.com,CCDR,Future Start,Part-Time,Zone C,Part-Time,Involuntary,Unit pass office southern break one.,Sales,General - Con,1964-02-17,TX,Technician,Female,43481,Asian,Widowed,Fully Meets,3,0,1,0,0,0,Other Non-Active,1118,3.06,2023-05-06,Master's Degree,19,83388.05,"Secretary, company",Rejected,2023-05-08,5,1,4,High Engagement,2023-04-02,Customer Service,Internal,Incomplete,Kristenton,Kimberly Doyle,3,353.21,After Start Date,0,0
3448,Angela,Molina,2019-10-01,2020-11-06,Area Sales Manager,Patricia Cook,angela.molina@bilearner.com,SVG,Future Start,Full-Time,Zone A,Temporary,Retirement,List class mind.,Sales,Engineers,1958-05-12,TX,Specialist,Male,50705,Asian,Widowed,Fully Meets,3,0,1,0,0,0,Other Non-Active,402,1.1,2023-08-05,Bachelor's Degree,14,46272.71,Television production assistant,Applied,2023-03-28,5,1,5,High Engagement,2023-05-16,Communication Skills,Internal,Completed,West Jamesview,Lindsay Williams,4,911.05,After Start Date,0,0
3449,Gerald,Preston,2023-05-10,2023-05-27,Area Sales Manager,Ashley Reeves,gerald.preston@bilearner.com,EW,Future Start,Contract,Zone B,Temporary,Involuntary,Price third parent evening.,Sales,General - Eng,1992-09-18,CO,Technician,Male,5168,Black,Single,Fully Meets,5,0,1,0,0,0,Other Non-Active,17,0.05,2023-05-30,PhD,16,33206.26,Telecommunications researcher,Interviewing,2023-06-30,3,2,1,Medium Engagement,2022-10-02,Communication Skills,External,Completed,Josebury,Joseph Faulkner,3,242.21,Before Start Date,0,0
3450,Reilly,Moyer,2020-09-01,2022-12-04,Area Sales Manager,Stanley Harvey,reilly.moyer@bilearner.com,MSC,Active,Contract,Zone C,Temporary,Resignation,Cause military a sense. Doctor property may.,Sales,Field Operations,1994-08-11,CO,Operator,Male,11765,Other,Single,Exceeds,2,1,0,0,0,0,Active,824,2.26,2023-05-15,Master's Degree,5,45949.34,"Clinical scientist, histocompatibility and immunogenetics",In Review,2023-01-18,4,3,5,High Engagement,2023-01-12,Technical Skills,Internal,Completed,South Benjaminfurt,Laura Davis,4,186.07,After Start Date,0,0
3451,Carlee,French,2021-02-18,2022-11-11,Area Sales Manager,Michael Bradshaw,carlee.french@bilearner.com,TNS,Active,Contract,Zone C,Full-Time,Voluntary,Station another son positive.,Sales,General - Con,1968-01-15,CO,Technician,Male,71071,Other,Divorced,Exceeds,3,1,0,0,0,0,Active,631,1.73,2023-07-15,Master's Degree,18,44796.97,Automotive engineer,Interviewing,2023-04-29,5,1,2,High Engagement,2023-03-22,Technical Skills,External,Completed,Duncanview,Betty Williams,1,921.97,After Start Date,0,0
3452,Jaydon,Blackburn,2022-11-08,,Area Sales Manager,Debbie Crosby,jaydon.blackburn@bilearner.com,PYZ,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Con,1947-01-07,IN,Foreman,Male,12122,Black,Divorced,Fully Meets,2,1,0,0,0,0,Active,1337,3.66,2023-06-27,High School,6,80632.87,Environmental consultant,Rejected,2023-01-19,5,5,2,High Engagement,2022-09-13,Customer Service,Internal,Failed,Lake Jonathan,Daniel Miller,1,691.04,Before Start Date,0,0
3453,Bridger,Carter,2022-10-13,,Area Sales Manager,Elizabeth Taylor,bridger.carter@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Unk,,Sales,Fielders,1982-04-07,MA,Engineer,Male,87065,White,Widowed,Fully Meets,4,1,0,0,0,0,Active,1363,3.73,2023-07-18,High School,10,86035.79,Clinical cytogeneticist,In Review,2022-09-17,5,5,3,High Engagement,2022-08-25,Customer Service,External,Completed,Port Jamesshire,Samantha Hodge,5,964.44,Before Start Date,0,0
3454,Leon,Beard,2022-09-11,,Area Sales Manager,Brian Dunlap,leon.beard@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,IT/IS,General - Con,1970-01-29,KY,Foreman,Male,10415,Hispanic,Married,Needs Improvement,4,1,0,0,0,0,Active,1395,3.82,2023-05-26,PhD,8,41449.82,TEFL teacher,Offered,2023-03-14,4,4,2,High Engagement,2023-02-07,Communication Skills,Internal,Passed,West Brandon,Jonathan Brady,3,184.9,After Start Date,0,0
3455,Charity,Miranda,2021-06-29,2022-07-05,Area Sales Manager,Daniel Rodriguez,charity.miranda@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Pm local take example fund. Small heavy listen.,Sales,Project Management - Eng,1999-01-18,KY,Manager,Male,3763,Other,Widowed,Exceeds,4,1,0,0,0,0,Active,371,1.02,2023-07-25,PhD,8,36298.04,"Engineer, biomedical",Offered,2022-08-12,2,1,1,Low Engagement,2023-03-17,Project Management,External,Passed,Wadefurt,Timothy Moreno,1,220.41,After Start Date,0,0
3456,Axel,Howe,2023-03-06,,Area Sales Manager,Martin Hammond,axel.howe@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Field Operations,1946-09-25,KY,Technician,Female,79623,Black,Divorced,Fully Meets,3,1,0,0,0,0,Active,1219,3.34,2023-06-02,Bachelor's Degree,1,96695.92,Administrator,Offered,2023-03-30,4,3,4,High Engagement,2023-06-08,Technical Skills,External,Passed,East Aaron,Morgan Wright,2,336.82,After Start Date,0,0
3457,Milton,Wall,2020-09-25,,Area Sales Manager,Sara Bell,milton.wall@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Unk,,Sales,Engineers,1947-08-23,KY,Technician,Female,69189,White,Divorced,Needs Improvement,3,1,0,0,0,0,Active,2111,5.78,2023-06-23,Bachelor's Degree,12,90622.65,"Conservator, museum/gallery",Interviewing,2023-04-21,5,1,4,High Engagement,2023-04-15,Customer Service,External,Completed,Williamsbury,Jeremy Garcia,4,485.73,After Start Date,0,0
3458,Cory,Robinson,2022-04-28,2023-05-24,Area Sales Manager,Elizabeth Anderson,cory.robinson@bilearner.com,BPC,Future Start,Contract,Zone A,Full-Time,Voluntary,Several young whether that expert.,Sales,Field Operations,1996-08-12,TX,Laborer,Female,5194,Hispanic,Single,Needs Improvement,3,0,1,0,0,0,Other Non-Active,391,1.07,2023-05-22,Master's Degree,18,37071.68,Archivist,In Review,2023-02-14,2,5,5,Low Engagement,2022-12-02,Communication Skills,Internal,Failed,North Deborahville,Joseph Ward,2,409.27,After Start Date,0,0
3459,Saniya,Yu,2021-04-18,2022-06-21,Area Sales Manager,Erin Bailey,saniya.yu@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Full-Time,Retirement,Science end approach democratic treatment.,Sales,General - Con,1944-02-09,TX,Splicer,Male,8779,Black,Widowed,Exceeds,2,0,1,0,0,0,Other Non-Active,429,1.17,2023-05-27,PhD,10,60886.45,Chief Executive Officer,Offered,2022-10-26,4,4,3,High Engagement,2023-06-14,Communication Skills,Internal,Passed,Chapmanbury,Joseph Thomas,4,168.32,After Start Date,0,0
3460,Alisa,James,2020-02-19,,Area Sales Manager,Dennis Henderson,alisa.james@bilearner.com,SVG,Active,Full-Time,Zone A,Full-Time,Unk,,Sales,Aerial,1944-02-10,TX,Lineman,Male,74682,Asian,Married,Fully Meets,3,1,0,0,0,0,Active,2330,6.38,2023-06-02,Bachelor's Degree,12,51767.22,Counsellor,Interviewing,2022-11-16,4,3,3,High Engagement,2023-07-08,Communication Skills,External,Incomplete,Paulashire,Willie Hernandez,5,919.52,After Start Date,0,0
3461,Lincoln,Compton,2019-07-18,2021-10-01,Area Sales Manager,Tammy Conner,lincoln.compton@bilearner.com,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Base scene central unit per argue. Might last of.,Sales,General - Con,1997-12-29,CO,Foreman,Male,78046,Hispanic,Married,Needs Improvement,1,0,1,0,0,0,Other Non-Active,806,2.21,2023-07-27,PhD,15,88675.51,"Surveyor, commercial/residential",Rejected,2023-04-24,1,4,4,Low Engagement,2023-01-05,Technical Skills,External,Completed,Taylorland,Micheal Munoz,2,948.43,After Start Date,0,0
3462,Aliana,Nolan,2018-09-13,2021-09-17,Area Sales Manager,Brianna Mathews,aliana.nolan@bilearner.com,MSC,Active,Contract,Zone A,Full-Time,Involuntary,Yourself book budget product.,Sales,Field Operations,1942-08-09,CO,Coordinator,Male,27270,Hispanic,Divorced,Needs Improvement,3,1,0,0,0,0,Active,1100,3.01,2023-07-20,High School,10,40175.8,"Nurse, learning disability",Offered,2022-11-08,3,3,1,Medium Engagement,2023-07-19,Project Management,External,Completed,Erinville,Stacey Esparza,1,320.01,After Start Date,0,0
3463,Kayden,Dodson,2020-04-30,2021-07-18,Area Sales Manager,Jessica Peters,kayden.dodson@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Paper can score else investment.,Sales,Field Operations,1951-06-21,IN,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1,1,0,0,0,0,Active,444,1.22,2023-08-03,PhD,15,95275.15,Furniture designer,Applied,2022-09-18,4,3,4,High Engagement,2022-08-29,Technical Skills,Internal,Incomplete,Harperchester,Heather Edwards,4,926.19,After Start Date,0,0
3464,James,Duke,2018-12-03,2022-09-09,Area Sales Manager,Mark Harris,james.duke@bilearner.com,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,Stuff different color how.,Sales,Shop (Fleet),1998-06-17,MA,Mechanic,Male,66835,Black,Widowed,Needs Improvement,5,1,0,0,0,0,Active,1376,3.77,2023-05-29,Master's Degree,16,48429.57,Management consultant,Interviewing,2022-12-29,2,5,3,Low Engagement,2022-11-13,Customer Service,External,Passed,Trevorside,Michaela Wright,2,290.47,After Start Date,0,0
3465,Willow,Stuart,2021-11-08,,Area Sales Manager,Elizabeth Tapia,willow.stuart@bilearner.com,WBL,Active,Full-Time,Zone B,Full-Time,Unk,,Sales,General - Con,1962-01-07,MA,Flagger,Male,66150,Asian,Divorced,Needs Improvement,3,1,0,0,0,0,Active,1702,4.66,2023-07-07,Master's Degree,16,75813.91,"Designer, blown glass/stained glass",Offered,2023-05-19,5,4,3,High Engagement,2023-06-04,Communication Skills,External,Incomplete,Port Alexaborough,Trevor Perry,1,706.1,After Start Date,0,0
3466,Clayton,Walker,2022-04-13,2023-04-10,Area Sales Manager,Jon Holden,clayton.walker@bilearner.com,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,Sign figure employee card education.,IT/IS,Aerial,1979-01-26,KY,Supervisor,Male,64288,Other,Married,Exceeds,4,1,0,0,0,0,Active,362,0.99,2023-07-09,Bachelor's Degree,18,50156.05,Insurance broker,Rejected,2023-08-04,1,3,4,Low Engagement,2022-12-07,Customer Service,External,Passed,West Angelaside,Erika Jackson,3,447.66,After Start Date,0,0
3467,Celia,Curtis,2020-05-06,,Area Sales Manager,Michael Odonnell,celia.curtis@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,Fielders,1987-05-14,KY,Engineer,Female,94333,Asian,Divorced,Exceeds,1,1,0,0,0,0,Active,2253,6.17,2023-06-16,High School,12,35962.41,Mental health nurse,Rejected,2023-06-27,4,3,2,High Engagement,2023-02-24,Technical Skills,Internal,Incomplete,Mariabury,Regina Robinson,1,759.7,After Start Date,0,0
3468,Valentin,Reilly,2019-09-09,,Area Sales Manager,Andres Parker,valentin.reilly@bilearner.com,NEL,Active,Contract,Zone B,Temporary,Unk,,Sales,Wireline Construction,1998-04-26,KY,Foreman,Female,45453,Black,Single,Fully Meets,4,1,0,0,0,0,Active,2493,6.83,2023-06-23,Master's Degree,20,88071.43,Government social research officer,In Review,2023-02-05,3,1,3,Medium Engagement,2023-05-10,Customer Service,Internal,Completed,Patelport,Michael Garcia,3,180.63,After Start Date,0,0
3469,Ryland,Shepherd,2020-07-29,2023-01-05,Area Sales Manager,James Berry,ryland.shepherd@bilearner.com,PL,Future Start,Contract,Zone B,Full-Time,Resignation,Right cut matter arrive difference.,Sales,Field Operations,1945-02-21,TX,Driver,Female,81905,Asian,Divorced,Needs Improvement,3,0,1,0,0,0,Other Non-Active,890,2.44,2023-05-15,PhD,18,58182.3,Control and instrumentation engineer,Applied,2023-08-01,5,5,1,High Engagement,2022-08-15,Communication Skills,Internal,Failed,North Jeanetteville,Lisa Barnes,2,552.54,After Start Date,0,0
3470,Esteban,Gilbert,2018-11-14,2019-10-28,Area Sales Manager,Gail Ali,esteban.gilbert@bilearner.com,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Speak professor statement result.,Sales,Field Operations,1997-05-31,TX,Technician,Female,12491,Black,Married,Needs Improvement,3,0,1,0,0,0,Other Non-Active,348,0.95,2023-06-29,PhD,8,46352.59,Investment analyst,Rejected,2023-05-06,1,2,3,Low Engagement,2022-09-26,Project Management,External,Passed,New Molly,Katie Wong MD,1,986.96,After Start Date,0,0
3471,Jonathan,Adkins,2020-02-29,,Area Sales Manager,John Marshall,jonathan.adkins@bilearner.com,CCDR,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Field Operations,1967-01-03,TX,Foreman,Male,64350,Asian,Married,Fully Meets,4,1,0,0,0,0,Active,2320,6.35,2023-07-23,High School,4,44567.14,Clinical research associate,Applied,2023-04-30,2,4,1,Low Engagement,2023-03-23,Customer Service,External,Passed,West Jonathan,Frank Joyce,3,109.98,After Start Date,0,0
3472,Nevaeh,Soto,2023-01-15,,Area Sales Manager,Jessica Chang,nevaeh.soto@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,1982-01-12,TX,Director,Male,74124,Other,Married,Exceeds,4,1,0,0,0,0,Active,1269,3.47,2023-06-13,Bachelor's Degree,20,39382.96,Games developer,Offered,2023-07-26,5,5,4,High Engagement,2023-02-12,Technical Skills,External,Completed,Port Karatown,Matthew Meyer,5,537.24,After Start Date,0,0
3473,Chaim,Mata,2023-06-29,,Area Sales Manager,Desiree Vang,chaim.mata@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Shop (Fleet),1950-10-01,CO,Manager,Male,33379,Hispanic,Widowed,Exceeds,2,1,0,0,0,0,Active,1104,3.02,2023-06-08,High School,4,50740.72,Medical secretary,Rejected,2023-06-28,3,4,4,Medium Engagement,2022-12-06,Communication Skills,External,Failed,Wagnertown,Frank Harris,5,789.99,Before Start Date,0,0
3474,Arely,Patton,2020-03-09,,Area Sales Manager,Andrew Goodman,arely.patton@bilearner.com,MSC,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Catv,1965-12-16,CO,Laborer,Male,34481,Other,Divorced,Fully Meets,2,1,0,0,0,0,Active,2311,6.33,2023-06-30,Bachelor's Degree,9,84882.63,Financial manager,Rejected,2023-05-09,3,1,2,Medium Engagement,2022-09-01,Customer Service,External,Incomplete,New Michaelport,Justin Rodriguez,5,155.51,After Start Date,0,0
3475,Vance,Trujillo,2021-09-21,2023-04-13,Area Sales Manager,Rebecca Simpson,vance.trujillo@bilearner.com,TNS,Active,Full-Time,Zone C,Temporary,Resignation,Expert challenge education air none money wide.,Sales,General - Con,1957-12-25,IN,Foreman,Male,90406,Asian,Widowed,Fully Meets,2,1,0,0,0,0,Active,569,1.56,2023-05-14,High School,4,62772.24,Astronomer,Applied,2023-01-25,4,3,4,High Engagement,2022-11-02,Customer Service,Internal,Passed,South Taylorfurt,Jenna Sherman,2,648.76,After Start Date,0,0
3476,Charlie,Koch,2023-06-12,2023-07-06,Area Sales Manager,Samantha Cardenas,charlie.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Buy become improve guess business know.,Sales,Fielders,1945-06-20,MA,Engineer,Male,95774,Asian,Divorced,Needs Improvement,2,1,0,0,0,0,Active,24,0.07,2023-07-16,Bachelor's Degree,6,91870.42,Osteopath,Offered,2023-03-03,5,5,3,High Engagement,2022-11-18,Leadership Development,Internal,Incomplete,Stephanieshire,Dr. Margaret Allen,4,533.5,Before Start Date,0,0
